SMILES,Name
CO,Methanol
CCO,Ethanol
CC(=O)O,Acetic_Acid
c1ccccc1,Benzene
C1CCCCC1,Cyclohexane
CC(=O)C,Acetone
C=O,Formaldehyde
C#C,Ethyne
C=C,Ethene
c1ccccc1O,Phenol
c1ccccc1N,Aniline
n1ccccc1,Pyridine
CC(=O)H,Acetaldehyde
C(=O)O,Formic_Acid
CCN,Ethylamine
COC,Dimethyl_Ether
C(=C)C,Propene
C=CC=C,Butadiene
CCC,Propane
CC(C)C,Isobutane
